,weight,sweetness,juiciness,acidity
3980,3,3,3,2
304,2,4,3,5
827,1,3,2,3
2067,3,4,2,4
2474,2,3,5,2
742,1,2,3,5
2018,2,3,4,2
1417,1,5,2,2
1406,3,2,3,4
2055,3,5,3,5
3042,1,3,4,4
841,1,3,5,3
3232,2,5,4,2
2399,2,2,3,3
3718,3,4,4,3
1070,2,3,2,2
2682,1,2,2,3
423,1,3,2,4
1334,1,3,4,3
1574,3,4,3,2
3538,3,4,2,2
450,2,4,4,4
1387,3,5,2,2
3365,1,4,2,4
964,2,5,5,2
3675,1,3,2,4
3686,1,3,4,4
1241,1,3,2,2
1400,1,4,3,2
3195,2,3,3,2
3620,2,3,2,3
2015,3,2,4,5
199,2,2,2,4
422,2,3,2,2
1026,3,4,2,5
2989,1,4,4,3
3904,3,2,5,3
1418,2,2,2,5
2607,3,2,2,4
735,1,2,3,2
2076,2,3,2,3
3036,1,2,3,3
2760,1,2,3,5
2581,1,2,2,3
2733,1,5,3,2
3092,1,2,4,5
3103,1,2,4,3
598,1,4,3,3
575,3,4,2,5
491,1,4,2,2
347,1,2,5,3
1500,1,5,2,3
3855,3,3,2,3
3947,3,5,5,2
3153,2,4,2,3
2542,1,3,4,2
3453,2,2,3,3
1765,1,4,3,2
3081,1,2,4,2
1894,2,2,2,4
2370,1,2,2,3
410,2,5,4,3
3945,2,3,2,2
2218,3,3,3,2
2875,1,5,4,2
1863,2,2,2,3
3893,1,3,2,2
949,3,2,4,5
3012,2,2,3,2
563,2,2,2,2
777,1,3,2,2
2488,3,5,2,3
349,3,2,2,5
3174,2,2,3,3
270,2,2,3,2
3602,3,5,2,5
3387,1,3,4,2
3426,3,5,3,3
1373,3,2,2,4
2191,2,3,4,3
1085,1,5,3,2
1929,1,2,3,3
269,1,3,5,4
620,2,4,3,2
667,1,5,2,3
458,2,2,4,4
115,2,2,4,3
828,3,5,2,3
1109,1,2,3,4
1901,3,3,5,5
2096,2,4,2,3
3775,2,2,2,2
1384,1,2,2,2
2899,3,3,5,5
2184,3,3,4,2
986,1,4,3,3
2181,3,4,3,5
2409,3,5,4,2
2033,3,5,2,5
1364,1,2,4,3
451,3,3,2,4
